company_name,evidence_query,evidence_year,new_region,unique_document_id,avg_evidence_score,std_error_evidence_score
AES Corporation,Alignment with IPCC on Climate Action,2018,global,1,1.0,0.0
AES Corporation,Alignment with IPCC on Climate Action,2020,global,1,2.0,
AES Corporation,Alignment with IPCC on Climate Action,2021,global,2,1.0,1.0
AES Corporation,Alignment with IPCC on Climate Action,2021,united_states,2,1.5,0.5
AES Corporation,Alignment with IPCC on Climate Action,2022,global,2,1.0,0.0
AES Corporation,Carbon Tax,2021,global,1,1.0,
AES Corporation,Communication of Climate Science,2018,global,1,1.5,0.5
AES Corporation,Communication of Climate Science,2021,global,1,1.0,
AES Corporation,Communication of Climate Science,2021,united_states,2,1.5,0.5
AES Corporation,Disclosure on Relationships,2019,global,1,-1.0,
AES Corporation,Emissions Trading,2018,united_states,1,1.0,
AES Corporation,Emissions Trading,2020,united_states,1,1.0,
AES Corporation,Emissions Trading,2021,global,1,1.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2016,united_states,1,-2.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2018,global,2,0.3333333333333333,0.6666666666666667
AES Corporation,Energy Transition & Zero Carbon Technologies,2018,north_america,1,-1.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2018,united_states,2,0.5,0.5
AES Corporation,Energy Transition & Zero Carbon Technologies,2019,asia,1,-1.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2019,global,3,1.0,0.0
AES Corporation,Energy Transition & Zero Carbon Technologies,2019,south_america,1,1.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2019,united_states,2,-2.0,0.0
AES Corporation,Energy Transition & Zero Carbon Technologies,2020,global,1,0.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2020,united_states,1,1.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2021,global,1,1.0,0.0
AES Corporation,Energy Transition & Zero Carbon Technologies,2021,south_america,4,0.5,0.5
AES Corporation,Energy Transition & Zero Carbon Technologies,2021,united_states,9,-0.07692307692307693,0.23916356546381579
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,global,1,1.5,0.5
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,north_america,1,0.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,south_america,1,0.0,
AES Corporation,Energy Transition & Zero Carbon Technologies,2022,united_states,16,0.5,0.15811388300841897
AES Corporation,Energy Transition & Zero Carbon Technologies,2023,global,2,0.0,0.0
AES Corporation,Energy Transition & Zero Carbon Technologies,2023,vietnam,1,-1.0,
AES Corporation,Energy and Resource Efficiency,2019,united_states,1,-2.0,
AES Corporation,Energy and Resource Efficiency,2020,global,1,0.0,
AES Corporation,Energy and Resource Efficiency,2021,united_states,2,1.0,1.0
AES Corporation,GHG Emission Regulation,2018,united_states,6,-1.6666666666666667,0.21081851067789195
AES Corporation,GHG Emission Regulation,2019,united_states,1,-1.0,
AES Corporation,GHG Emission Regulation,2020,united_states,1,-1.0,
AES Corporation,GHG Emission Regulation,2021,united_states,2,2.0,0.0
AES Corporation,GHG Emission Regulation,2022,united_states,1,-1.0,
AES Corporation,Renewable Energy,2018,united_states,1,1.0,
AES Corporation,Renewable Energy,2019,india,1,1.0,
AES Corporation,Renewable Energy,2019,united_states,1,1.0,
AES Corporation,Renewable Energy,2020,global,1,0.0,
AES Corporation,Renewable Energy,2020,united_states,1,1.0,
AES Corporation,Renewable Energy,2021,united_states,3,0.3333333333333333,0.33333333333333337
AES Corporation,Renewable Energy,2022,south_america,1,0.0,
AES Corporation,Renewable Energy,2022,united_states,7,1.1428571428571428,0.2608202654786505
AES Corporation,Renewable Energy,2022,vietnam,1,0.0,
AES Corporation,Support of UN Climate Process,2021,global,1,1.0,
AES Corporation,Support of UN Climate Process,2021,united_states,2,1.0,0.0
AES Corporation,Support of UN Climate Process,2022,global,3,0.3333333333333333,0.33333333333333337
AES Corporation,Supporting the Need for Regulations,2020,global,1,1.0,
AES Corporation,Supporting the Need for Regulations,2021,global,1,1.0,
AES Corporation,Supporting the Need for Regulations,2022,global,1,1.0,
AGL Australia,Alignment with IPCC on Climate Action,2015,australia,1,1.0,
AGL Australia,Alignment with IPCC on Climate Action,2015,global,1,2.0,
AGL Australia,Alignment with IPCC on Climate Action,2017,australia,1,1.0,
AGL Australia,Alignment with IPCC on Climate Action,2018,australia,2,1.5,0.5
AGL Australia,Alignment with IPCC on Climate Action,2020,australia,1,1.0,
AGL Australia,Alignment with IPCC on Climate Action,2021,australia,2,2.0,0.0
AGL Australia,Alignment with IPCC on Climate Action,2022,australia,4,2.0,0.0
AGL Australia,Communication of Climate Science,2015,australia,2,1.5,0.5
AGL Australia,Communication of Climate Science,2016,australia,1,2.0,
AGL Australia,Communication of Climate Science,2018,australia,2,1.5,0.5
AGL Australia,Communication of Climate Science,2020,australia,2,1.5,0.5
AGL Australia,Communication of Climate Science,2020,global,1,1.0,
AGL Australia,Communication of Climate Science,2021,australia,1,1.0,
AGL Australia,Communication of Climate Science,2022,global,3,1.0,0.0
AGL Australia,Disclosure on Relationships,2021,australia,1,1.0,
AGL Australia,Disclosure on Relationships,2022,australia,1,1.0,
AGL Australia,Emissions Trading,2016,australia,1,1.0,
AGL Australia,Emissions Trading,2017,australia,1,1.0,
AGL Australia,Emissions Trading,2018,australia,2,1.0,0.0
AGL Australia,Emissions Trading,2019,australia,1,1.0,
AGL Australia,Emissions Trading,2020,australia,1,1.0,
AGL Australia,Emissions Trading,2021,australia,1,0.0,
AGL Australia,Emissions Trading,2022,australia,2,1.5,0.5
AGL Australia,Energy Transition & Zero Carbon Technologies,2015,australia,8,0.5,0.26726124191242434
