company_name,sector,,,,,
AES Corporation,Electric Utilities,,,,,
AGL Australia,Electric Utilities,,,,Row Labels,Count of company_name
Air France-KLM,Airlines,author edited,,,Airlines,5
Air Liquide,Chemicals,,,,Automobiles,11
Airbus Group,Other transportation,,,,cement,7
American Airlines Group,Airlines,,,,Chemicals,7
American Electric Power,Electric Utilities,,,,Coal mining,1
Anglo American,Diversified Mining,,,,Consumer Goods & Services,9
Antam (Aneka Tambang),Diversified Mining,author edited,,,Diversified Mining,10
ArcelorMittal,Steel,author edited,,,Electric Utilities,20
BASF,Chemicals,,,,Oil & Gas,29
BHP,Diversified Mining,,,,Oil & Gas Distribution,7
BMW Group,Automobiles,,,,other industrials,10
BP,Oil & Gas,,,,Other transportation,6
Bayer,Chemicals,,,,paper,2
Berkshire Hathaway,other industrials,,,,shipping,2
Bluescope Steel,Steel,,,,Steel,7
Boeing,Other transportation,,,,Grand Total,133
Boral Limited,cement,,,,,
CEZ,Electric Utilities,,,,,
CRH,cement,,,,,
Canadian Natural Resources Ltd (CNRL),Oil & Gas,,,,,
Caterpillar,other industrials,,,,,
Cemex,cement,,,,,
Centrica,Oil & Gas Distribution,,,,,
Chevron,Oil & Gas,,,,,
Coal India,Coal mining,,,,,
Coca-Cola,Consumer Goods & Services,author edited,,,,
ConocoPhillips,Oil & Gas,,,,,
Cummins,other industrials,,,,,
Daikin Industries,other industrials,,,,,
Danone,Consumer Goods & Services,,,,,
Delta Air Lines,Airlines,,,,,
Devon Energy,Oil & Gas,author edited,,,,
Dow Inc,Chemicals,,,,,
Duke Energy,Electric Utilities,,,,,
E.ON,Electric Utilities,,,,,
EDF,Oil & Gas Distribution,author edited,,,,
Ecopetrol,Oil & Gas,,,,,
Enbridge,Oil & Gas Distribution,author edited,,,,
Enel,Electric Utilities,,,,,
Engie,Electric Utilities,,,,,
Eni,Oil & Gas,,,,,
Equinor (formerly Statoil),Oil & Gas,,,,,
Eskom Holdings Soc Limited,Electric Utilities,,,,,
ExxonMobil,Oil & Gas,,,,,
Ford Motor,Automobiles,,,,,
Fortum,Electric Utilities,,,,,
Gazprom,Oil & Gas,,,,,
General Electric,other industrials,,,,,
General Motors,Automobiles,,,,,
Glencore International,Diversified Mining,,,,,
Grupo Argos,cement,,,,,
Grupo México,Diversified Mining,,,,,
HeidelbergCement,cement,,,,,
Hitachi,other industrials,,,,,
Holcim,cement,,,,,
Honda Motor,Automobiles,,,,,
Iberdrola,Electric Utilities,,,,,
Imperial Oil Limited,Oil & Gas,,,,,
Incitec Pivot,Chemicals,,,,,
International Paper Company,paper,,,,,
Kinder Morgan,Oil & Gas Distribution,author edited,,,,
Korea Electric Power Corporation (KEPCO),Electric Utilities,,,,,
Lukoil,Oil & Gas,,,,,
LyondellBasell Industries,Chemicals,,,,,
Mercedes-Benz Group,Automobiles,,,,,
Moller Maersk (Maersk),shipping,author edited,,,,
NRG Energy,Electric Utilities,,,,,
National Grid,Electric Utilities,,,,,
Naturgy (Gas Natural Fenosa),Oil & Gas Distribution,,,,,
Nestlé,Consumer Goods & Services,,,,,
Nippon Steel Corporation,Steel,,,,,
Nissan,Automobiles,,,,,
OMV,Oil & Gas,,,,,
Occidental Petroleum,Oil & Gas,,,,,
Orica,other industrials,,,,,
Origin Energy,Oil & Gas,,,,,
PACCAR,Other transportation,,,,,
PGE (Polska Grupa Energetyczna),Electric Utilities,,,,,
POSCO,Steel,,,,,
PPL Corporation,Electric Utilities,,,,,
PTT Global Chemicals,Oil & Gas,,,,,
Panasonic,Consumer Goods & Services,,,,,
Pemex (Petróleos Mexicanos),Oil & Gas,,,,,
PepsiCo,Consumer Goods & Services,,,,,
Petrobras,Oil & Gas,,,,,
Philips,Consumer Goods & Services,,,,,
Phillips 66,Oil & Gas Distribution,,,,,
Qantas Airways,Airlines,,,,,
RWE,Electric Utilities,,,,,
Raytheon Technologies Corporation (formerly United Technologies),Other transportation,,,,,
Reliance Industries Limited,Oil & Gas,,,,,
Renault,Automobiles,,,,,
Repsol,Oil & Gas,,,,,
Rio Tinto Group,Diversified Mining,,,,,
Rolls-Royce,Other transportation,,,,,
Rosneft,Oil & Gas,,,,,
SK Innovation Co,shipping,,,,,
SSAB,Steel,,,,,
SSE,Electric Utilities,,,,,
Saint-Gobain,other industrials,,,,,
Santos,Oil & Gas,,,,,
Sasol,Oil & Gas,,,,,
Saudi Aramco,Oil & Gas,,,,,
Severstal,Steel,,,,,
Shell,Oil & Gas,,,,,
Siemens Energy,other industrials,,,,,
South32,Diversified Mining,,,,,
Stellantis,Automobiles,,,,,
Suncor Energy,Oil & Gas,,,,,
Suzano (formerly Fibria Celulose),paper,,,,,
Suzuki,Automobiles,,,,,
TC Energy,Oil & Gas Distribution,,,,,
Teck Resources Limited,Diversified Mining,,,,,
Toray Industries Inc.,Chemicals,,,,,
TotalEnergies,Oil & Gas,,,,,
Toyota Motor,Automobiles,,,,,
Trane Technologies (formerly Ingersoll-Rand),other industrials,,,,,
UltraTech Cement,cement,,,,,
Unilever,Consumer Goods & Services,,,,,
Uniper,Electric Utilities,author edited,,,,
United Airlines,Airlines,,,,,
Vale,Diversified Mining,,,,,
Valero Energy,Oil & Gas,,,,,
Vedanta Resources,Diversified Mining,,,,,
Vistra Corp,Electric Utilities,,,,,
Volkswagen Group,Automobiles,,,,,
Volvo Group,Other transportation,,,,,
Walmart Stores,Consumer Goods & Services,,,,,
Weyerhaeuser Company,Consumer Goods & Services,author edited,,,,
Woodside,Oil & Gas,,,,,
thyssenkrupp,Steel,,,,,
